authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
@rafagarcia8498,2023-06-11T16:09:30Z,1,El tema que Yankee rechazó cantar.,El tema que Yankee rechazó cantar.
@VxNOX7,2023-06-11T09:57:40Z,0,"2018 fue un buen año para la musica latina, mas sin embargo, no se supo valorar, y ahora se lamenta porque se extraña","2018 fue un buen año para la musica latina, mas sin embargo, no se supo valorar, y ahora se lamenta porque se extraña"
@user-ld9nk1ux2j,2023-06-10T22:09:47Z,0,😮,emoji cara con la boca abierta emoji
@luisalejandrocenturion6726,2023-06-10T14:25:06Z,0,O,O
@karolramirez-po1qw,2023-06-10T06:56:13Z,0,ozuna mi papi,ozuna mi papi
@moniquefonseca4837,2023-06-09T18:26:32Z,1,If I went there I will speak Korean and I can not speak English,If I went there I will speak Korean and I can not speak English
@rosaehuan4935,2023-06-08T18:45:52Z,1,"La rola q no quiso YANKEE,  con razón  tiene ese flow pa el.,","La rola q no quiso YANKEE,  con razón  tiene ese flow pa el.,"
@user-kx2jr5cz8g,2023-06-08T18:19:01Z,0,Vamos me encanta la musica hago ejercicio con esta musica,Vamos me encanta la musica hago ejercicio con esta musica
@meraryaviles4991,2023-06-08T15:55:48Z,2,Esta canción me pone feliz cada vez que la escucho,Esta canción me pone feliz cada vez que la escucho
@fredyescape128,2023-06-07T20:57:37Z,1,"La canción es bonita pero... mas me gustó que grabaran el video en Japón hay muchos lugares que ya conozco como Fushimi Inari Taisha, Templo Senso-Ji, Akihabara, El Palacio del Emperador (donde estan los sakuras... aunque podría ser otro lugar) Kyoto, Shibuya... uff muy lindo el video! 100 puntos Ozuna.","La canción es bonita pero... mas me gustó que grabaran el video en Japón hay muchos lugares que ya conozco como Fushimi Inari Taisha, Templo Senso-Ji, Akihabara, El Palacio del Emperador (donde estan los sakuras... aunque podría ser otro lugar) Kyoto, Shibuya... uff muy lindo el video! 100 puntos Ozuna."
@LaValeeGiannelli,2023-06-07T08:36:48Z,0,🐻🐻necesitamos más temas así ..🧸🧸,emoji oso emoji  emoji oso emoji necesitamos más temas así .. emoji osito de peluche emoji  emoji osito de peluche emoji
@catalinablas2431,2023-06-05T20:21:58Z,2,2:25,2:25
@kenijacobi,2023-06-03T02:19:23Z,0,2023 y recien me doy cuenta de k tienen su propia torre igual k la de Paris,2023 y recien me doy cuenta de k tienen su propia torre igual k la de Paris
@kristal545,2023-05-11T23:44:21Z,1,Hola,Hola
@LuisRodriguez-ni1st,2023-05-30T10:02:45Z,2,Si este tema fuera con yanke fuera más  clasico  30/5/23,Si este tema fuera con yanke fuera más  clasico  30/5/23
@Ninon5,2023-05-29T01:38:39Z,2,La canción en la que daddy Yankee no quiso grabar,La canción en la que daddy Yankee no quiso grabar
@ElCazadorDeLasRedes,2023-05-28T22:46:35Z,2,Yankee rechazó participar en este tema.,Yankee rechazó participar en este tema.
@rociobarreira7296,2023-05-28T03:40:59Z,1,Reee linda canciooon,Reee linda canciooon
@FabianEnciso-km4jd,2023-05-28T03:09:51Z,2,27 de mayo en un 15 que temazoooooo,27 de mayo en un 15 que temazooo
@jl10joseluismusic,2023-05-27T23:44:43Z,5,Y pensar que Yankee rechazo este tema,Y pensar que Yankee rechazo este tema
@jhonelvisreinoso,2023-05-27T21:21:05Z,1,1 billón de este Temazo,1 billón de este Temazo
@kennethcaldero8923,2023-05-27T08:03:39Z,4,Q nostalgia volver a escuchar está canción,Q nostalgia volver a escuchar está canción
@Cchichar_08,2023-05-26T22:04:38Z,0,🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻🐻,emoji oso emoji  emoji oso emoji  emoji oso emoji
@JC-bc5eo,2023-05-26T20:59:02Z,0,0:06  2:03  3:04👍,0:06  2:03  3:04 emoji pulgar hacia arriba emoji
@diosdepactos7680,2023-05-26T12:31:45Z,0,Vamps ozunaa😊,Vamps ozunaa emoji cara feliz con ojos sonrientes emoji
@juandavidsancheztorres2902,2023-05-24T23:36:47Z,1,basura de musica,basura de musica
@jontester3225,2023-05-24T18:44:18Z,1,Reportarse quienes activos y escuchando este temazo en el 2023,Reportarse quienes activos y escuchando este temazo en el 2023
@edwinmanuel7432,2023-05-24T17:51:51Z,0,Ozuna separé a xxxtentacion ❤😮,Ozuna separé a xxxtentacion  emoji cara con la boca abierta emoji
@edufortanell8678,2023-05-24T05:07:15Z,1,el negrito ojo claro,el negrito ojo claro
@donovanapazacaceres3207,2023-05-16T16:40:03Z,3,Quien extraña a ese Ozuna❤,Quien extraña a ese Ozuna
@user-hg2ud1ym6e,2023-05-14T01:20:53Z,1,MI MEJOR TEMA DE MI ALMA ,MI MEJOR TEMA DE MI ALMA
@helencano6288,2023-05-13T20:31:27Z,0,Mama,Mama
@helencano6288,2023-05-13T19:58:08Z,0,Helen Amairany Cano,Helen Amairany Cano
