,authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
44,@29sweetmamita,2024-02-09T19:03:16Z,1,Hermosa canción. Dios t siga bendiciendo e usando tu vida Alex campos,hermosa canción dios t siga bendiciendo usando vida alex campos
45,@alejandrosotelo6578,2024-02-09T18:48:54Z,0,https://youtube.com/live/XA2u8y9z4ck?feature=share,
46,@martharamirez8673,2024-02-09T18:23:55Z,0,Amén hermosa alabanza 🙏❤️🙏,amén hermosa alabanza emoji manos oración emoji emoji manos oración emoji
47,@leslykarinavilchezvelasque7023,2024-02-09T18:21:13Z,0,❤❤❤😊😊😊que hermosa canción y que hermoso duo😊😊,emoji cara feliz ojos sonrientes emoji emoji cara feliz ojos sonrientes emoji emoji cara feliz ojos sonrientes emoji hermosa canción hermoso duo emoji cara feliz ojos sonrientes emoji emoji cara feliz ojos sonrientes emoji
48,@abigaillopez3620,2024-02-09T18:18:49Z,0,Canciones atemporales ❤,canciones atemporales
49,@SusanLorOficial,2024-02-09T17:54:04Z,6,Esta canción es tan honesta y hermosa! Me emociona mucho ❤,canción tan honesta hermosa emociona
50,@gloriaenidgonzalez220,2024-02-09T16:11:49Z,0,Bello!!!!❤❤❤,bello
51,@LuisGonzalez-rw8hg,2024-02-09T16:11:22Z,5,Sin duda esa chica tiene una voz y un poder Angelical..,duda chica voz poder angelical
52,@user-vo1nm8sk7l,2024-02-09T11:51:08Z,0,Maravilloso y grosos AMÉN,maravilloso grosos amén
53,@johnedwardburgosrojas623,2024-02-09T11:04:49Z,0,Que alabanza tan hermosa 😍,alabanza tan hermosa emoji cara sonriendo ojos corazón emoji
54,@cristianbenitez6167,2024-02-09T08:59:05Z,0,Que onda con Jesús Adrián??,onda jesús adrián
55,@osscartrevino8645,2024-02-09T07:00:30Z,0,Amén...................... Bendiciones....................... Aleluya...................... Saltillo................ México.........,amén bendiciones aleluya saltillo méxico
56,@anazarate4631,2024-02-09T03:14:27Z,5,Esooo Kim Richar❤❤❤❤Le diste algo especial a la cancion,esooo kim richarle diste especial cancion
57,@justfacu,2024-02-09T02:13:21Z,6,"Kim tiene una voz hermosa, Gloria a Dios.",kim voz hermosa gloria dios
58,@isabelg4187,2024-02-09T01:46:08Z,0,🙌,emoji manos levantadas celebrando emoji
59,@marcelofamilia3500,2024-02-09T01:38:19Z,0,"Estamos nos finais dos tempos, Jesus está Voltando, tem muitos irmãos nosso se afastando e fracos na Fé, vamos ajudar aqueles que estão caídos, para que através do Espírito Santo possam voltar aos caminhos do Senhor Jesus.🙏🔥❤️🎵🎹🎸🎻🇧🇷🇧🇷🇧🇷🇧🇷",finais dos tempos jesus voltando tem muitos irm nosso afastando fracos na fé vamos ajudar aqueles est caídos através do espírito santo possam voltar aos caminhos do senhor jesus emoji manos oración emoji emoji fuego emoji emoji nota musical emoji emoji teclado musical emoji emoji guitarra emoji emoji violín emoji emoji bandera brasil emoji emoji bandera brasil emoji emoji bandera brasil emoji emoji bandera brasil emoji
60,@marcelofamilia3500,2024-02-09T01:36:07Z,0,"Glórias a Deus, 🙏🔥❤️🎵🎹🎧 Amém, muito lindo esse Louvor em Adoração ao Nosso Deus 🙏🔥🇧🇷🇧🇷🇧🇷🇧🇷",glórias deus emoji manos oración emoji emoji fuego emoji emoji nota musical emoji emoji teclado musical emoji emoji auricular emoji amém muito lindo esse louvor em adora ao nosso deus emoji manos oración emoji emoji fuego emoji emoji bandera brasil emoji emoji bandera brasil emoji emoji bandera brasil emoji emoji bandera brasil emoji
61,@arlynrodriguez7200,2024-02-09T01:09:19Z,2,Desde el primer día que escuche este tema me identifique y me hizo sentir algo especial que solo el espíritu Santo le transmite a uno fue en un momento donde mi vida se transformó tuve que afrontar una noticia que me cambiaría la vida por completo y luego de escucharla me dio una calor un abrigo que solo Dios nos lo puede dar su fortaleza me tiene en pie amén,primer día escuche tema identifique hizo sentir especial solo espíritu santo transmite momento vida transformó afrontar noticia cambiaría vida completo luego escucharla dio calor abrigo solo dios puede dar fortaleza pie amén
62,@javicambogota,2024-02-09T00:53:15Z,1,https://youtu.be/UG88LckbR6I?si=z0UrivBvcz0G9zKI,
63,@CastroDylan938,2024-02-08T23:48:48Z,0,¿Y Lilly? 🙁,lilly emoji cara ceño ligeramente fruncido emoji
64,@GabyElWinel,2024-02-08T21:46:19Z,1,"Mis respetos a Lilly Goodman, con lo tremenda cantante que es Kim se siente corta en algo que es normal en Lilly. 😮",respetos lilly goodman tremenda cantante kim corta normal lilly emoji cara boca abierta emoji
65,@albertomontes3940,2024-02-08T21:44:41Z,1,"Es indiscutible que son voces magistrales.
Porque amamos la música. ❤❤❤🥰💖💗💓💞💕💟❣️",indiscutible voces magistrales amamos música emoji cara sonriendo corazones emoji emoji corazón brillante emoji emoji corazón creciente emoji emoji corazón latiendo emoji emoji corazones giratorios emoji emoji dos corazones emoji emoji adorno corazón emoji emoji exclamación corazón emoji
66,@josetadriancordovaanton9578,2024-02-08T19:53:25Z,1,Mejor es con lili gudman,mejor lili gudman
67,@calebyfuentedevida4231,2024-02-08T19:18:56Z,81,"Yo no voy a decir si son Cristianos o no, sino  que quien esté pasando por procesos difíciles, y escuchan esta canción sean llevado al gran refugio de Jesús, y que el los abracé",voy decir si cristianos sino pasando procesos difíciles escuchan canción llevado gran refugio jesús abracé
68,@daliaemilio8693,2024-02-08T18:31:46Z,2,Alex Dios te bendiga por siempre ❤,alex dios bendiga siempre
69,@marinagarciahamburger7071,2024-02-08T17:45:39Z,10,"Me encanta esta versión y todas las colaboraciones entre Jesús Adrian y Alex, simplemente es una constancia y un trabajo inigualable",encanta versión todas colaboraciones jesús adrian alex simplemente constancia trabajo inigualable
70,@ruthbeltranduque8279,2024-02-08T17:22:13Z,0,Hermoso hermano alex,hermoso hermano alex
71,@EmmanuelJR-mi7bu,2024-02-08T16:26:56Z,0,Bendiciones Alex Campos te admiro mucho tú eres mi cantante favorito con el Alex zurdo y sigues cantando bien todavía con la ayuda de Dios me saludas a tu familia Alex bendiciones desdé México del estado de guerrero,bendiciones alex campos admiro cantante favorito alex zurdo sigues cantando bien todavía ayuda dios saludas familia alex bendiciones desdé méxico guerrero
72,@marciaguillen3872,2024-02-08T14:41:52Z,0,Dios les bendiga ❤,dios bendiga
73,@Faithinme90,2024-02-08T13:33:27Z,15,"Thank you Jesus. I’m currently in the hospital suffering from lupus lord please heal, me and make me whole. In Jesus I Pray Amen🙏🏾🙏🏾🙏🏾🙏🏾❤❤❤Love You Jesus!!!",thank you jesus im currently in the hospital suffering from lupus lord please heal and make whole in jesus i pray amen emoji manos oración tono piel oscuro medio emoji emoji manos oración tono piel oscuro medio emoji emoji manos oración tono piel oscuro medio emoji emoji manos oración tono piel oscuro medio emoji love you jesus
74,@estephanyperez4377,2024-02-08T13:13:30Z,1,"Los amooo❤❤❤ gloria a Dios por ustedes, mis favoritos 🎉🎉🎉",amooo gloria dios ustedes favoritos emoji cañón confeti emoji emoji cañón confeti emoji emoji cañón confeti emoji
75,@marthapoveda4889,2024-02-08T12:30:05Z,0,Solo Dios gracias bendiciones 🙏,solo dios gracias bendiciones emoji manos oración emoji
76,@hildahuancamallqui2935,2024-02-08T12:06:11Z,0,"Que bendicion, escucharlos a los 3  es una hermosa alabanza, Dios los bendiga ❤❤❤",bendicion escucharlos hermosa alabanza dios bendiga
77,@AndersonLopez-ck8tw,2024-02-08T11:32:32Z,0,Gracias Dios por todo paso por una tormenta pero se que no me vas a dejar caer amén.,gracias dios paso tormenta vas dejar caer amén
78,@adolfomeza6477,2024-02-08T08:19:26Z,0,Himno de vidaaaa❤❤,himno vidaaa
79,@cococenteno7193,2024-02-08T06:23:07Z,0,Woow bendiciones,woow bendiciones
80,@enriquezenteno8526,2024-02-08T05:53:25Z,33,"Yo me hice cristiano escuchando a Jesús Adrian ya hace 20años, y ser cristiano es ser seguidor dé Jesús Cristo, y no ser religioso o sentirse más santo que lo demás",hice cristiano escuchando jesús adrian hace años ser cristiano ser seguidor dé jesús cristo ser religioso sentirse santo demás
81,@onangonzalezbautista5693,2024-02-08T05:23:56Z,0,Yo esperaba el Trío con Lilly Goodman!!!!!!! 😢😢😢😢😢,esperaba trío lilly goodman emoji cara llorando emoji emoji cara llorando emoji emoji cara llorando emoji
